STATE,T_BREAK,T_CASE,T_CHAN,T_CONST,T_CONTINUE,T_DEFER,T_DEFAULT,T_ELSE,T_FALLTHROUGH,T_FOR,T_FUNC,T_GO,T_GOTO,T_IDENT,T_IF,T_IMPORT,T_INT_R,T_INTERFACE,T_MAP,T_PACKAGE,T_RANGE,T_RETURN,T_SELECT,T_STRUCT,T_SWITCH,T_TYPE,T_VAR,T_SUB,T_INT_V,T_FLOAT_V,T_STRING_V,T_GREATER_THAN,T_GREATER_GREATER,T_GREATER_GREATER_EQ,T_GREATER_EQ,T_LESS_THAN,T_LESS_LESS,T_LESS_LESS_EQ,T_LESS_EQ,T_PLUS,T_PLUS_PLUS,T_PLUS_EQ,T_SUB_SUB,T_SUB_EQ,T_MULT,T_MULT_EQ,T_DIV,T_DIV_EQ,T_MOD,T_MOD_EQ,T_AND,T_AND_AND,T_AND_EQ,T_OR,T_OR_OR,T_OR_EQ,T_EQ,T_EQ_EQ,T_COLON,T_COLON_EQ,T_NOT,T_NOT_EQ,T_BKT_LEFT,T_BKT_RIGHT,T_SBKT_LEFT,T_SBKT_RIGHT,T_CBKT_LEFT,T_CBKT_RIGHT,T_COMMA,T_SEMICOLON,T_DOT,T_BOOL_R,T_BYTE_R,T_FLOAT32_R,T_FLOAT64_R,T_INT8_R,T_INT16_R,T_INT32_R,T_INT64_R,T_RUNE_R,T_STRING_R,T_BOOL_V,DOLLAR
32,-1,1020,-1,-1,-1,1020,1020,-1,-1,1020,1020,1020,-1,1020,1020,1020,-1,-1,-1,1020,-1,1020,-1,-1,1020,1020,1020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1020
STATE,T_BREAK,T_CASE,T_CHAN,T_CONST,T_CONTINUE,T_DEFER,T_DEFAULT,T_ELSE,T_FALLTHROUGH,T_FOR,T_FUNC,T_GO,T_GOTO,T_IDENT,T_IF,T_IMPORT,T_INT_R,T_INTERFACE,T_MAP,T_PACKAGE,T_RANGE,T_RETURN,T_SELECT,T_STRUCT,T_SWITCH,T_TYPE,T_VAR,T_SUB,T_INT_V,T_FLOAT_V,T_STRING_V,T_GREATER_THAN,T_GREATER_GREATER,T_GREATER_GREATER_EQ,T_GREATER_EQ,T_LESS_THAN,T_LESS_LESS,T_LESS_LESS_EQ,T_LESS_EQ,T_PLUS,T_PLUS_PLUS,T_PLUS_EQ,T_SUB_SUB,T_SUB_EQ,T_MULT,T_MULT_EQ,T_DIV,T_DIV_EQ,T_MOD,T_MOD_EQ,T_AND,T_AND_AND,T_AND_EQ,T_OR,T_OR_OR,T_OR_EQ,T_EQ,T_EQ_EQ,T_COLON,T_COLON_EQ,T_NOT,T_NOT_EQ,T_BKT_LEFT,T_BKT_RIGHT,T_SBKT_LEFT,T_SBKT_RIGHT,T_CBKT_LEFT,T_CBKT_RIGHT,T_COMMA,T_SEMICOLON,T_DOT,T_BOOL_R,T_BYTE_R,T_FLOAT32_R,T_FLOAT64_R,T_INT8_R,T_INT16_R,T_INT32_R,T_INT64_R,T_RUNE_R,T_STRING_R,T_BOOL_V,DOLLAR
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,-1,91,92,93,94,95,96,97,98,-1,-1
34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1024,-1,-1,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,103,-1,-1,1024,-1,1024,1024,1024,1024,1024,1024,1024,1024,-1,-1
35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,-1,1042,-1,-1,-1,1042,1042,-1,-1,1042,1042,1042,-1,1042,1042,1042,-1,-1,-1,1042,-1,1042,-1,-1,1042,1042,1042,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1042,1042,-1,1042,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1042
37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1081,-1,-1,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,65,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,-1,72,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1081,-1
38,-1,1053,-1,-1,-1,1053,1053,-1,-1,1053,1053,1053,-1,1053,1053,1053,-1,-1,-1,1053,-1,1053,-1,-1,1053,1053,1053,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1053,1053,-1,1053,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1053
39,-1,1054,-1,-1,-1,1054,1054,-1,-1,1054,1054,1054,-1,1054,1054,1054,-1,-1,-1,1054,-1,1054,-1,-1,1054,1054,1054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1054,1054,-1,1054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1054
40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1055,-1,-1,-1,-1,1055,-1,-1,-1,-1,-1,-1,-1,-1,-1,1055,1055,1055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1055,-1,1055,-1,1055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1055,-1
